Timestamp(ms),GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
1512,0.01,0.00,0.00,0.23,0.09,10.00
1517,0.01,0.00,0.00,0.19,0.09,9.98
1522,0.01,0.00,0.00,0.17,0.11,9.97
1528,0.01,0.00,0.00,0.17,0.09,9.99
1533,0.01,0.00,0.00,0.12,0.10,9.96
1538,0.01,0.00,0.00,0.15,0.09,9.98
1543,0.01,0.00,0.00,0.16,0.07,9.96
1548,0.01,0.00,0.00,0.13,0.09,9.96
1553,0.01,0.00,0.00,0.16,0.04,9.97
1558,0.01,0.00,0.00,0.14,0.05,9.96
1563,0.01,0.00,0.00,0.18,0.05,9.95
1568,0.01,0.00,0.00,0.20,0.03,9.97
1573,0.01,0.00,0.00,0.18,0.07,9.95
1578,0.01,0.00,0.00,0.23,0.06,9.97
1583,0.01,0.00,0.00,0.22,0.07,9.97
1588,0.01,0.00,0.00,0.25,0.09,9.99
1593,0.01,0.00,0.00,0.27,0.06,9.95
1598,0.01,0.00,0.00,0.25,0.12,10.00
1603,0.01,0.00,0.00,0.29,0.09,9.98
1608,0.01,0.00,0.00,0.27,0.13,10.01
1613,0.01,0.00,0.00,0.27,0.12,9.95
1618,0.01,0.00,0.00,0.28,0.12,10.03
1623,0.01,0.00,0.00,0.22,0.11,9.94
1628,0.01,0.00,0.00,0.23,0.13,10.00
1633,0.01,0.00,0.00,0.22,0.09,9.97
1638,0.01,0.00,0.00,0.18,0.11,9.99
1644,0.01,0.00,0.00,0.20,0.08,9.96
1649,0.01,0.00,0.00,0.17,0.07,9.98
1654,0.01,0.00,0.00,0.19,0.05,9.96
1659,0.01,0.00,0.00,0.20,0.01,9.94
1664,0.01,0.00,0.00,0.17,0.06,9.92
1669,0.01,0.00,0.00,0.24,0.01,9.94
1674,0.01,0.00,0.00,0.21,0.01,9.92
1679,0.01,0.00,0.00,0.22,0.01,9.93
1684,0.01,0.00,0.00,0.26,-0.01,9.92
1689,0.01,0.00,0.00,0.23,0.02,9.93
1694,0.01,0.00,0.00,0.26,0.00,9.92
1699,0.02,0.00,0.00,0.27,0.01,9.93
1704,0.02,0.00,0.00,0.26,0.03,9.92
1709,0.01,0.00,0.01,0.27,0.03,9.94
1714,0.02,0.00,0.01,0.25,0.06,9.93
1719,0.01,0.00,0.01,0.26,0.07,9.95
1724,0.02,0.00,0.01,0.28,0.05,9.96
1729,0.01,-0.00,0.01,0.24,0.10,9.97
1734,0.01,-0.00,0.01,0.28,0.09,9.97
1739,0.01,0.00,0.01,0.25,0.09,9.96
1744,0.01,-0.00,0.01,0.26,0.11,9.98
1749,0.01,-0.00,0.01,0.29,0.09,9.98
1754,0.01,0.00,0.01,0.24,0.12,9.99
1760,0.01,-0.00,0.01,0.28,0.10,9.99
1765,0.01,0.00,0.01,0.28,0.11,9.97
1770,0.01,0.00,0.01,0.26,0.12,9.98
1775,0.01,0.00,0.00,0.29,0.09,10.00
1780,0.01,0.00,0.00,0.25,0.11,9.99
1785,0.01,0.00,0.00,0.29,0.12,9.99
1790,0.01,0.00,0.00,0.28,0.11,9.99
1795,0.01,0.00,0.00,0.26,0.13,9.99
1800,0.01,0.00,0.00,0.29,0.11,9.99
1805,0.01,0.00,0.00,0.25,0.12,9.98
1810,0.01,0.00,0.00,0.29,0.12,9.99
1815,0.01,0.00,0.00,0.29,0.08,9.98
1820,0.01,0.00,0.00,0.24,0.11,9.97
1825,0.01,0.00,0.00,0.28,0.07,9.97
1830,0.01,0.00,0.01,0.24,0.08,9.97
1835,0.01,0.00,0.00,0.24,0.08,9.96
1840,0.01,0.00,0.00,0.26,0.03,9.94
1845,0.01,0.00,0.01,0.22,0.07,9.95
1850,0.01,0.00,0.01,0.25,0.05,9.95
1855,0.01,0.00,0.01,0.22,0.05,9.96
1860,0.01,0.00,0.01,0.20,0.07,9.95
1865,0.01,0.00,0.01,0.21,0.05,9.95
1871,0.01,0.00,0.01,0.17,0.07,9.96
1876,0.01,0.00,0.01,0.20,0.05,9.96
1881,0.01,0.00,0.01,0.20,0.05,9.96
1886,0.01,0.00,0.01,0.18,0.08,9.95
1891,0.01,0.00,0.01,0.21,0.06,9.97
1896,0.01,0.00,0.01,0.18,0.06,9.97
1901,0.01,0.00,0.00,0.18,0.09,9.97
1906,0.01,0.00,0.00,0.20,0.05,9.95
1911,0.01,0.00,0.01,0.18,0.08,9.96
1916,0.01,0.00,0.00,0.22,0.07,9.97
1921,0.01,0.00,0.00,0.18,0.07,9.98
1926,0.01,0.00,0.00,0.18,0.09,9.96
1931,0.01,0.00,0.00,0.22,0.07,9.95
1936,0.01,0.00,0.00,0.19,0.09,9.97
1941,0.01,0.00,0.00,0.23,0.08,9.96
1946,0.01,0.00,0.00,0.22,0.07,9.97
1951,0.01,0.00,0.00,0.21,0.09,9.96
1956,0.01,0.00,0.00,0.25,0.06,9.96
1961,0.01,0.00,0.00,0.22,0.06,9.96
1966,0.01,0.00,0.00,0.25,0.08,9.96
1971,0.01,0.00,0.01,0.26,0.05,9.95
1976,0.01,0.00,0.00,0.23,0.07,9.96
1981,0.01,0.00,0.00,0.24,0.06,9.94
1987,0.01,0.00,0.00,0.20,0.06,9.97
1992,0.01,0.00,0.01,0.21,0.07,9.95
1997,0.01,0.00,0.01,0.23,0.06,9.97
2002,0.01,0.00,0.00,0.19,0.08,9.95
2007,0.01,0.00,0.00,0.22,0.08,9.98
2012,0.01,0.00,0.00,0.19,0.06,9.94
2017,0.01,0.00,0.00,0.18,0.09,9.97
2022,0.01,0.00,0.00,0.20,0.05,9.94
2027,0.01,0.00,0.00,0.17,0.09,9.99
2032,0.01,0.00,0.00,0.18,0.07,9.95
2037,0.01,0.00,0.00,0.18,0.06,9.96
2042,0.01,0.00,0.00,0.15,0.08,9.94
2047,0.01,0.00,0.00,0.17,0.05,9.97
2052,0.01,0.00,0.00,0.15,0.05,9.95
2057,0.01,0.00,0.00,0.17,0.05,9.96
2062,0.01,0.00,0.00,0.16,0.02,9.96
2067,0.01,0.00,0.00,0.14,0.05,9.95
2072,0.01,0.00,0.00,0.18,0.04,9.95
2077,0.01,0.00,0.00,0.16,0.03,9.95
2082,0.01,0.00,0.00,0.18,0.06,9.94
2087,0.01,0.00,0.00,0.19,0.02,9.96
2092,0.01,0.00,0.00,0.17,0.05,9.93
2097,0.01,0.00,0.00,0.20,0.05,9.96
2103,0.01,0.00,0.00,0.19,0.03,9.92
2108,0.01,0.00,0.00,0.20,0.08,9.97
2113,0.02,0.00,0.00,0.24,0.03,9.94
2118,0.01,0.00,0.00,0.19,0.08,9.96
2123,0.02,0.00,0.00,0.24,0.08,9.95
2128,0.01,0.00,0.00,0.24,0.06,9.98
2133,0.01,0.00,0.00,0.23,0.09,9.96
2138,0.01,0.00,0.00,0.28,0.09,9.99
2143,0.01,0.00,0.00,0.26,0.09,9.96
2148,0.01,0.00,0.00,0.27,0.10,9.98
2153,0.01,0.00,0.00,0.30,0.07,9.96
2158,0.01,0.00,0.00,0.25,0.12,9.97
2163,0.01,0.00,0.00,0.32,0.09,9.96
2168,0.01,0.00,0.00,0.29,0.08,9.98
2173,0.01,0.00,0.00,0.29,0.10,9.97
2178,0.01,0.00,0.00,0.32,0.06,9.97
2183,0.01,0.00,0.00,0.28,0.09,9.95
2188,0.01,0.00,0.00,0.31,0.08,9.97
2193,0.01,0.00,0.00,0.29,0.06,9.95
2198,0.01,0.00,0.00,0.29,0.09,9.95
2203,0.01,0.00,0.00,0.31,0.05,9.96
2208,0.01,0.00,0.00,0.28,0.08,9.96
2213,0.01,0.00,0.00,0.29,0.08,9.96
2219,0.01,0.00,0.00,0.30,0.05,9.95
2224,0.01,0.00,0.00,0.26,0.09,9.96
2229,0.01,0.00,0.00,0.31,0.07,9.95
2234,0.01,0.00,0.00,0.27,0.08,9.95
2239,0.01,0.00,0.00,0.27,0.10,9.97
2244,0.01,0.00,0.00,0.29,0.07,9.96
2249,0.01,0.00,0.01,0.25,0.10,9.96
2254,0.01,0.00,0.00,0.28,0.08,9.97
2259,0.01,0.00,0.00,0.26,0.08,9.97
2264,0.01,0.00,0.00,0.27,0.10,9.98
2269,0.01,0.00,0.00,0.28,0.07,9.97
2274,0.01,0.00,0.00,0.24,0.09,9.97
2279,0.01,0.00,0.00,0.26,0.07,9.96
2284,0.01,0.00,0.00,0.25,0.05,9.95
2289,0.01,0.00,0.00,0.23,0.08,9.97
2294,0.01,0.00,0.00,0.27,0.05,9.95
2299,0.01,0.00,0.01,0.22,0.06,9.96
2304,0.01,0.00,0.01,0.24,0.07,9.95
2309,0.01,0.00,0.01,0.24,0.05,9.97
2314,0.01,0.00,0.01,0.20,0.09,9.95
2319,0.01,0.00,0.01,0.25,0.06,9.96
2324,0.01,0.00,0.01,0.19,0.07,9.95
2330,0.01,0.00,0.01,0.20,0.09,9.96
2335,0.01,0.00,0.01,0.22,0.06,9.96
2340,0.01,0.00,0.01,0.17,0.10,9.96
2345,0.01,0.00,0.01,0.20,0.09,9.99
2350,0.01,0.00,0.01,0.17,0.08,9.97
2355,0.01,0.00,0.01,0.17,0.13,9.98
2360,0.01,0.00,0.01,0.20,0.09,9.97
2365,0.01,0.00,0.01,0.16,0.12,9.97
2370,0.01,0.00,0.01,0.18,0.11,9.97
2375,0.01,0.00,0.01,0.18,0.08,9.96
2380,0.01,0.00,0.01,0.16,0.11,9.96
2385,0.01,0.00,0.01,0.19,0.08,9.98
2390,0.01,0.00,0.01,0.17,0.09,9.96
2395,0.01,0.00,0.00,0.18,0.08,9.96
2400,0.01,0.00,0.00,0.20,0.06,9.97
2405,0.01,0.00,0.00,0.16,0.07,9.96
2410,0.01,0.00,0.00,0.20,0.05,9.96
2415,0.01,0.00,0.00,0.18,0.03,9.94
2420,0.01,0.00,0.00,0.18,0.04,9.95
2425,0.01,0.00,0.00,0.21,0.02,9.94
2430,0.01,0.00,0.00,0.16,0.04,9.93
2435,0.01,0.00,0.00,0.21,0.02,9.94
2440,0.01,0.00,0.00,0.20,0.01,9.93
2445,0.01,0.00,0.00,0.18,0.05,9.93
2451,0.01,0.00,0.00,0.23,0.02,9.94
2456,0.01,0.00,0.00,0.20,0.04,9.94
2461,0.01,0.00,0.00,0.23,0.06,9.95
2466,0.01,0.00,0.00,0.24,0.04,9.95
2471,0.01,0.00,0.00,0.21,0.08,9.95
2476,0.01,0.00,0.00,0.24,0.05,9.95
2481,0.01,0.00,0.01,0.22,0.07,9.95
2486,0.01,0.00,0.00,0.24,0.07,9.96
2491,0.01,0.00,0.00,0.26,0.05,9.96
2496,0.01,0.00,0.00,0.23,0.09,9.96
2501,0.01,0.00,0.00,0.26,0.07,9.96
2506,0.01,0.00,0.00,0.23,0.06,9.95
2511,0.01,0.00,0.00,0.23,0.09,9.96
2516,0.01,0.00,0.00,0.28,0.05,9.96
2521,0.01,0.00,0.00,0.21,0.08,9.95
2526,0.01,0.00,0.00,0.25,0.08,9.97
2531,0.01,0.00,0.00,0.23,0.06,9.96
2536,0.01,0.00,0.00,0.22,0.10,9.95
2541,0.01,0.00,0.00,0.26,0.06,9.95
2546,0.01,0.00,0.00,0.21,0.08,9.96
2551,0.01,0.00,0.00,0.23,0.07,9.95
2556,0.01,0.00,0.00,0.23,0.07,9.97
2562,0.01,0.00,0.00,0.20,0.09,9.95
2567,0.01,0.00,0.00,0.23,0.08,9.97
2572,0.01,0.00,0.00,0.22,0.09,9.97
2577,0.01,0.00,0.00,0.21,0.09,9.96
2582,0.01,0.00,0.00,0.23,0.07,9.97
2587,0.01,0.00,0.00,0.19,0.10,9.96
2592,0.01,0.00,0.00,0.23,0.08,9.96
2597,0.01,0.00,0.00,0.21,0.08,9.95
2602,0.01,0.00,0.00,0.20,0.10,9.97
2607,0.01,0.00,0.00,0.24,0.06,9.97
2612,0.01,0.00,0.00,0.21,0.08,9.96
2617,0.01,0.00,0.00,0.23,0.08,9.96
2622,0.01,0.00,0.00,0.22,0.06,9.95
2627,0.01,0.00,0.00,0.22,0.09,9.96
2632,0.01,0.00,0.00,0.27,0.05,9.95
2637,0.01,0.00,0.00,0.23,0.07,9.95
2642,0.01,0.00,0.00,0.25,0.06,9.94
2647,0.01,0.00,0.00,0.27,0.04,9.95
2652,0.01,0.00,0.00,0.23,0.06,9.95
2657,0.01,0.00,0.00,0.28,0.05,9.95
2662,0.01,0.00,0.00,0.24,0.05,9.95
